canonical_UniProtAC	gene	domain_edge_bin_compact	cluster_window_start	cluster_window_end	max_sites_in_20aa_span_within_bin	position	architecture_class	site_key	nearest_domain_edge_distance	nearest_domain_side	nearest_domain_class	nearest_interpro_name	signed_domain_edge_distance	domain_side	signed_distance_bin	abs_distance_class
Q96I24	FUBP3	Domain edge <=20 aa	337	343	4	337	domain-proximal clustered	Q96I24:R337	15.0	C_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	15.0	C-terminal side of domain	C <=20	<=20 aa
Q96I24	FUBP3	Domain edge <=20 aa	337	343	4	339	domain-proximal clustered	Q96I24:R339	14.0	N_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	-14.0	N-terminal side of domain	N <=20	<=20 aa
Q96I24	FUBP3	Domain edge <=20 aa	337	343	4	341	domain-proximal clustered	Q96I24:R341	12.0	N_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	-12.0	N-terminal side of domain	N <=20	<=20 aa
Q96I24	FUBP3	Domain edge <=20 aa	337	343	4	343	domain-proximal clustered	Q96I24:R343	10.0	N_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	-10.0	N-terminal side of domain	N <=20	<=20 aa
Q99729	HNRNPAB	Domain edge <=20 aa	245	253	4	245	domain-proximal clustered	Q99729:R245	12.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	12.0	C-terminal side of domain	C <=20	<=20 aa
Q99729	HNRNPAB	Domain edge <=20 aa	245	253	4	248	domain-proximal clustered	Q99729:R248	15.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	15.0	C-terminal side of domain	C <=20	<=20 aa
Q99729	HNRNPAB	Domain edge <=20 aa	245	253	4	250	domain-proximal clustered	Q99729:R250	17.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	17.0	C-terminal side of domain	C <=20	<=20 aa
Q99729	HNRNPAB	Domain edge <=20 aa	245	253	4	253	domain-proximal clustered	Q99729:R253	20.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	20.0	C-terminal side of domain	C <=20	<=20 aa
Q9BUJ2	HNRNPUL1	Domain edge <=20 aa	171	181	4	171	broad across IDR	Q9BUJ2:R171	20.0	N_terminal_to_domain	Other domain	B30.2/SPRY domain	-20.0	N-terminal side of domain	N 21-40	<=20 aa
Q9BUJ2	HNRNPUL1	Domain edge <=20 aa	171	181	4	173	broad across IDR	Q9BUJ2:R173	18.0	N_terminal_to_domain	Other domain	B30.2/SPRY domain	-18.0	N-terminal side of domain	N <=20	<=20 aa
Q9BUJ2	HNRNPUL1	Domain edge <=20 aa	171	181	4	179	broad across IDR	Q9BUJ2:R179	12.0	N_terminal_to_domain	Other domain	B30.2/SPRY domain	-12.0	N-terminal side of domain	N <=20	<=20 aa
Q9BUJ2	HNRNPUL1	Domain edge <=20 aa	171	181	4	181	broad across IDR	Q9BUJ2:R181	10.0	N_terminal_to_domain	Other domain	B30.2/SPRY domain	-10.0	N-terminal side of domain	N <=20	<=20 aa
Q9HAU4	SMURF2	Domain edge <=20 aa	232	239	4	232	domain-proximal clustered	Q9HAU4:R232	19.0	N_terminal_to_domain	Other domain	WW domain	-19.0	N-terminal side of domain	N <=20	<=20 aa
Q9HAU4	SMURF2	Domain edge <=20 aa	232	239	4	234	domain-proximal clustered	Q9HAU4:R234	17.0	N_terminal_to_domain	Other domain	WW domain	-17.0	N-terminal side of domain	N <=20	<=20 aa
Q9HAU4	SMURF2	Domain edge <=20 aa	232	239	4	237	domain-proximal clustered	Q9HAU4:R237	14.0	N_terminal_to_domain	Other domain	WW domain	-14.0	N-terminal side of domain	N <=20	<=20 aa
Q9HAU4	SMURF2	Domain edge <=20 aa	232	239	4	239	domain-proximal clustered	Q9HAU4:R239	12.0	N_terminal_to_domain	Other domain	WW domain	-12.0	N-terminal side of domain	N <=20	<=20 aa
Q9UQ35	SRRM2	Domain edge <=20 aa	21	33	4	21	domain-proximal clustered	Q9UQ35:R21	18.0	N_terminal_to_domain	Other domain	Serine/arginine repetitive matrix protein 2, cwf21 domain	-18.0	N-terminal side of domain	N <=20	<=20 aa
Q9UQ35	SRRM2	Domain edge <=20 aa	21	33	4	29	domain-proximal clustered	Q9UQ35:R29	10.0	N_terminal_to_domain	Other domain	Serine/arginine repetitive matrix protein 2, cwf21 domain	-10.0	N-terminal side of domain	N <=20	<=20 aa
Q9UQ35	SRRM2	Domain edge <=20 aa	21	33	4	30	domain-proximal clustered	Q9UQ35:R30	9.0	N_terminal_to_domain	Other domain	Serine/arginine repetitive matrix protein 2, cwf21 domain	-9.0	N-terminal side of domain	N <=20	<=20 aa
Q9UQ35	SRRM2	Domain edge <=20 aa	21	33	4	33	domain-proximal clustered	Q9UQ35:R33	6.0	N_terminal_to_domain	Other domain	Serine/arginine repetitive matrix protein 2, cwf21 domain	-6.0	N-terminal side of domain	N <=20	<=20 aa
Q9Y3Y2	CHTOP	Domain edge <=20 aa	140	153	4	140	broad across IDR	Q9Y3Y2:R140	17.0	N_terminal_to_domain	Other domain	Chromatin target of PRMT1 protein, C-terminal	-17.0	N-terminal side of domain	N <=20	<=20 aa
Q9Y3Y2	CHTOP	Domain edge <=20 aa	140	153	4	148	broad across IDR	Q9Y3Y2:R148	9.0	N_terminal_to_domain	Other domain	Chromatin target of PRMT1 protein, C-terminal	-9.0	N-terminal side of domain	N <=20	<=20 aa
Q9Y3Y2	CHTOP	Domain edge <=20 aa	140	153	4	152	broad across IDR	Q9Y3Y2:R152	5.0	N_terminal_to_domain	Other domain	Chromatin target of PRMT1 protein, C-terminal	-5.0	N-terminal side of domain	N <=20	<=20 aa
Q9Y3Y2	CHTOP	Domain edge <=20 aa	140	153	4	153	broad across IDR	Q9Y3Y2:R153	4.0	N_terminal_to_domain	Other domain	Chromatin target of PRMT1 protein, C-terminal	-4.0	N-terminal side of domain	N <=20	<=20 aa
Q01844	EWSR1	Domain edge <=20 aa	455	464	3	455	broad across IDR	Q01844:R455	8.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	8.0	C-terminal side of domain	C <=20	<=20 aa
Q01844	EWSR1	Domain edge <=20 aa	455	464	3	461	broad across IDR	Q01844:R461	14.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	14.0	C-terminal side of domain	C <=20	<=20 aa
Q01844	EWSR1	Domain edge <=20 aa	455	464	3	464	broad across IDR	Q01844:R464	17.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	17.0	C-terminal side of domain	C <=20	<=20 aa
P19338	NCL	Domain edge <=20 aa	656	666	3	656	broad across IDR	P19338:R656	7.0	C_terminal_to_domain	RRM / KH RNA-binding	Nucleolin, RNA recognition motif 4	7.0	C-terminal side of domain	C <=20	<=20 aa
P19338	NCL	Domain edge <=20 aa	656	666	3	660	broad across IDR	P19338:R660	11.0	C_terminal_to_domain	RRM / KH RNA-binding	Nucleolin, RNA recognition motif 4	11.0	C-terminal side of domain	C <=20	<=20 aa
P19338	NCL	Domain edge <=20 aa	656	666	3	666	broad across IDR	P19338:R666	17.0	C_terminal_to_domain	RRM / KH RNA-binding	Nucleolin, RNA recognition motif 4	17.0	C-terminal side of domain	C <=20	<=20 aa
Q8ND56	LSM14A	Domain edge <=20 aa	269	279	3	269	broad across IDR	Q8ND56:R269	15.0	N_terminal_to_domain	Other domain	DFDF domain	-15.0	N-terminal side of domain	N <=20	<=20 aa
Q8ND56	LSM14A	Domain edge <=20 aa	269	279	3	270	broad across IDR	Q8ND56:R270	14.0	N_terminal_to_domain	Other domain	DFDF domain	-14.0	N-terminal side of domain	N <=20	<=20 aa
Q8ND56	LSM14A	Domain edge <=20 aa	269	279	3	279	broad across IDR	Q8ND56:R279	5.0	N_terminal_to_domain	Other domain	DFDF domain	-5.0	N-terminal side of domain	N <=20	<=20 aa
Q92945	KHSRP	Domain edge <=20 aa	394	413	3	394	domain-proximal clustered	Q92945:R394	3.0	C_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	3.0	C-terminal side of domain	C <=20	<=20 aa
Q92945	KHSRP	Domain edge <=20 aa	394	413	3	411	domain-proximal clustered	Q92945:R411	12.0	N_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	-12.0	N-terminal side of domain	N <=20	<=20 aa
Q92945	KHSRP	Domain edge <=20 aa	394	413	3	413	domain-proximal clustered	Q92945:R413	10.0	N_terminal_to_domain	RRM / KH RNA-binding	K Homology domain	-10.0	N-terminal side of domain	N <=20	<=20 aa
P51991	HNRNPA3	Domain edge <=20 aa	16	21	3	16	domain-proximal clustered	P51991:R16	19.0	N_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	-19.0	N-terminal side of domain	N <=20	<=20 aa
P51991	HNRNPA3	Domain edge <=20 aa	16	21	3	17	domain-proximal clustered	P51991:R17	18.0	N_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	-18.0	N-terminal side of domain	N <=20	<=20 aa
P51991	HNRNPA3	Domain edge <=20 aa	16	21	3	21	domain-proximal clustered	P51991:R21	14.0	N_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	-14.0	N-terminal side of domain	N <=20	<=20 aa
Q13242	SRSF9	Domain edge <=20 aa	93	101	3	93	domain-proximal clustered	Q13242:R93	4.0	C_terminal_to_domain	RRM / KH RNA-binding	RNA recognition motif domain	4.0	C-terminal side of domain	C <=20	<=20 aa
Q13242	SRSF9	Domain edge <=20 aa	93	101	3	98	domain-proximal clustered	Q13242:R98	6.0	N_terminal_to_domain	RRM / KH RNA-binding	SRSF9, RNA recognition motif 2	-6.0	N-terminal side of domain	N <=20	<=20 aa
Q13242	SRSF9	Domain edge <=20 aa	93	101	3	101	domain-proximal clustered	Q13242:R101	3.0	N_terminal_to_domain	RRM / KH RNA-binding	SRSF9, RNA recognition motif 2	-3.0	N-terminal side of domain	N <=20	<=20 aa
Q13283	G3BP1	Domain edge <=20 aa	427	435	3	427	domain-proximal clustered	Q13283:R427	11.0	C_terminal_to_domain	RRM / KH RNA-binding	G3BP1, RNA recognition motif	11.0	C-terminal side of domain	C <=20	<=20 aa
Q13283	G3BP1	Domain edge <=20 aa	427	435	3	429	domain-proximal clustered	Q13283:R429	13.0	C_terminal_to_domain	RRM / KH RNA-binding	G3BP1, RNA recognition motif	13.0	C-terminal side of domain	C <=20	<=20 aa
Q13283	G3BP1	Domain edge <=20 aa	427	435	3	435	domain-proximal clustered	Q13283:R435	19.0	C_terminal_to_domain	RRM / KH RNA-binding	G3BP1, RNA recognition motif	19.0	C-terminal side of domain	C <=20	<=20 aa
P51114	FXR1	Domain edge <=20 aa	453	459	3	453	domain-proximal clustered	P51114:R453	5.0	C_terminal_to_domain	Ribosome / RNP structural	Fragile X messenger ribonucleoprotein 1-like, C-terminal core	5.0	C-terminal side of domain	C <=20	<=20 aa
P51114	FXR1	Domain edge <=20 aa	453	459	3	455	domain-proximal clustered	P51114:R455	6.0	N_terminal_to_domain	Other domain	Fragile X-related protein 1, C-terminal region 1	-6.0	N-terminal side of domain	N <=20	<=20 aa
P51114	FXR1	Domain edge <=20 aa	453	459	3	459	domain-proximal clustered	P51114:R459	2.0	N_terminal_to_domain	Other domain	Fragile X-related protein 1, C-terminal region 1	-2.0	N-terminal side of domain	N <=20	<=20 aa
