canonical_UniProtAC	gene	n_bins	bins	max_cluster	total_cluster_bin_sites
P11940	PABPC1	1	Domain-distal >40 aa	4	7
P12270	TPR	1	Domain-distal >40 aa	5	15
P14678	SNRPB	1	Domain-distal >40 aa	4	9
P14866	HNRNPL	1	Domain edge 21-40 aa	5	5
P15880	RPS2	1	Domain-distal >40 aa	5	5
P15924	DSP	1	Domain edge 21-40 aa	3	3
P16989	CSDA	3	Domain edge <=20 aa | Domain edge 21-40 aa | Domain-distal >40 aa	8	34
P17844	DDX5	2	Domain edge <=20 aa | Domain-distal >40 aa	6	11
P18583	SON	1	Domain-distal >40 aa	3	3
P19338	NCL	2	Domain edge <=20 aa | Domain edge 21-40 aa	5	11
P20290	BTF3	1	Domain-distal >40 aa	5	7
P23246	SFPQ	1	Domain-distal >40 aa	5	15
P23588	EIF4B	1	Domain-distal >40 aa	4	8
P31942	HNRNPH3	1	Domain edge <=20 aa	3	3
P31943	HNRNPH1	1	Domain edge <=20 aa	3	3
P33240	CSTF2	1	Domain-distal >40 aa	3	14
P33991	MCM4	1	Domain-distal >40 aa	5	6
P35368	ADRA1B	1	Domain-distal >40 aa	4	4
P35579	MYH9	1	Domain edge <=20 aa	3	3
P35580	MYH10	1	Domain edge <=20 aa	3	3
P35637	FUS	3	Domain edge <=20 aa | Domain edge 21-40 aa | Domain-distal >40 aa	5	27
P36578	RPL4	1	Domain-distal >40 aa	3	3
P38159	RBMX	3	Domain edge <=20 aa | Domain edge 21-40 aa | Domain-distal >40 aa	5	29
P46783	RPS10	1	Domain-distal >40 aa	3	3
P48634	PRRC2A	1	Domain-distal >40 aa	6	43
P49750	YLPM1	1	Domain-distal >40 aa	5	34
P49959	MRE11	1	Domain-distal >40 aa	7	12
P50548	ERF	1	Domain-distal >40 aa	3	3
P50570	DNM2	1	Domain-distal >40 aa	4	5
P50749	RASSF2	1	Domain edge 21-40 aa	3	3
P51114	FXR1	1	Domain edge <=20 aa	3	4
P51991	HNRNPA3	1	Domain edge <=20 aa	3	5
P53814	SMTN	1	Domain-distal >40 aa	3	5
P55789	GFER	1	Domain-distal >40 aa	4	6
P55795	HNRNPH2	1	Domain edge <=20 aa	3	3
P61978	HNRNPK	1	Domain-distal >40 aa	6	17
P62314	SNRPD1	1	Domain edge <=20 aa	4	4
P62318	SNRPD3	1	Domain edge 21-40 aa	3	3
P62633	CNBP	1	Domain edge <=20 aa	4	4
P62995	TRA2B	2	Domain edge 21-40 aa | Domain-distal >40 aa	4	10
P67809	YBX1	2	Domain edge 21-40 aa | Domain-distal >40 aa	9	22
P68431	HIST1H3A	1	Domain edge <=20 aa	3	3
P78332	RBM6	1	Domain-distal >40 aa	3	9
P78344	EIF4G2	1	Domain-distal >40 aa	3	5
P79522	PRR3	1	Domain-distal >40 aa	5	6
P84103	SRSF3	1	Domain-distal >40 aa	3	3
P98174	FGD1	1	Domain-distal >40 aa	3	5
P98179	RBM3	2	Domain edge <=20 aa | Domain-distal >40 aa	5	9
Q00839	HNRNPU	1	Domain-distal >40 aa	5	18
Q01094	E2F1	1	Domain edge <=20 aa	3	3
Q01130	SRSF2	1	Domain edge <=20 aa	3	4
Q01804	OTUD4	1	Domain-distal >40 aa	3	5
Q01844	EWSR1	3	Domain edge <=20 aa | Domain edge 21-40 aa | Domain-distal >40 aa	6	35
Q04637	EIF4G1	2	Domain edge 21-40 aa | Domain-distal >40 aa	4	19
Q07666	KHDRBS1	2	Domain edge 21-40 aa | Domain-distal >40 aa	5	22
Q07955	SRSF1	1	Domain edge <=20 aa	4	4
Q08170	SRSF4	1	Domain edge <=20 aa	3	3
Q08211	DHX9	1	Domain-distal >40 aa	4	9
Q08379	GOLGA2	1	Domain-distal >40 aa	3	3
Q12830	BPTF	1	Domain-distal >40 aa	3	12
Q12888	TP53BP1	1	Domain-distal >40 aa	5	7
Q12905	ILF2	1	Domain edge <=20 aa	5	5
Q12906	ILF3	1	Domain-distal >40 aa	4	7
Q13151	HNRNPA0	2	Domain edge <=20 aa | Domain edge 21-40 aa	3	6
Q13242	SRSF9	1	Domain edge <=20 aa	3	5
Q13243	SRSF5	1	Domain edge <=20 aa	6	6
Q13283	G3BP1	1	Domain edge <=20 aa	3	5
Q13310	PABPC4	1	Domain-distal >40 aa	3	7
Q13435	SF3B2	1	Domain-distal >40 aa	3	9
Q14004	CDK13	1	Domain-distal >40 aa	3	3
Q14011	CIRBP	3	Domain edge <=20 aa | Domain edge 21-40 aa | Domain-distal >40 aa	4	13
Q14103	HNRNPD	1	Domain edge <=20 aa	3	4
Q14151	SAFB2	1	Domain-distal >40 aa	3	15
Q14152	EIF3A	1	Domain-distal >40 aa	5	25
Q14157	UBAP2L	1	Domain-distal >40 aa	6	11
Q14444	CAPRIN1	1	Domain edge <=20 aa	4	4
Q14498	RBM39	1	Domain edge 21-40 aa	3	3
Q14686	NCOA6	1	Domain-distal >40 aa	3	8
Q14966	ZNF638	1	Domain-distal >40 aa	4	9
Q15056	EIF4H	2	Domain edge <=20 aa | Domain-distal >40 aa	6	14
Q15058	KIF14	1	Domain-distal >40 aa	3	3
Q15424	SAFB	1	Domain-distal >40 aa	3	17
Q15427	SF3B4	1	Domain-distal >40 aa	3	5
Q15554	TERF2	1	Domain edge 21-40 aa	4	4
Q15596	NCOA2	1	Domain-distal >40 aa	3	6
Q15654	TRIP6	1	Domain-distal >40 aa	4	17
Q15735	INPP5J	1	Domain-distal >40 aa	3	6
Q16630	CPSF6	1	Domain-distal >40 aa	4	4
Q1KMD3	HNRNPUL2	1	Domain-distal >40 aa	3	5
Q2KHR3	QSER1	1	Domain-distal >40 aa	3	3
Q32P51	HNRNPA1L2	1	Domain edge <=20 aa	3	3
Q3SX64	ODF3L2	1	Domain edge <=20 aa	3	3
Q58WW2	DCAF6	1	Domain-distal >40 aa	3	3
Q5BKZ1	ZNF326	1	Domain-distal >40 aa	4	9
Q5JRA6	MIA3	1	Domain-distal >40 aa	3	7
Q5JSZ5	PRRC2B	1	Domain-distal >40 aa	4	14
Q5JVS0	HABP4	1	Domain edge <=20 aa	3	3
Q5T200	ZC3H13	1	Domain-distal >40 aa	4	7
Q5T6F2	UBAP2	1	Domain-distal >40 aa	4	5
Q5T8P6	RBM26	1	Domain edge 21-40 aa	4	4
Q5TC82	RC3H1	1	Domain-distal >40 aa	3	4
Q5VT52	RPRD2	1	Domain-distal >40 aa	5	18
Q5VWX1	KHDRBS2	1	Domain edge 21-40 aa	3	6
Q659C4	LARP1B	1	Domain-distal >40 aa	5	6
Q66K74	MAP1S	1	Domain-distal >40 aa	3	6
Q68CQ4	DIEXF	1	Domain-distal >40 aa	3	3
Q68CZ2	TNS3	1	Domain-distal >40 aa	4	4
Q69YN4	KIAA1429	1	Domain-distal >40 aa	4	17
Q6GQQ9	OTUD7B	1	Domain-distal >40 aa	3	4
Q6P6C2	ALKBH5	1	Domain-distal >40 aa	3	3
Q6PIY7	PAPD4	1	Domain-distal >40 aa	4	4
Q6PJG2	C14orf43	1	Domain-distal >40 aa	3	7
Q6PKG0	LARP1	1	Domain-distal >40 aa	5	10
Q6Y7W6	GIGYF2	1	Domain-distal >40 aa	4	8
Q6ZRV2	FAM83H	1	Domain-distal >40 aa	3	10
Q71DI3	HIST1H3A	1	Domain edge <=20 aa	3	3
Q71RC2	LARP4	1	Domain-distal >40 aa	3	6
Q7KZI7	MARK2	1	Domain-distal >40 aa	3	4
Q7Z460	CLASP1	1	Domain-distal >40 aa	3	5
Q7Z5L9	IRF2BP2	1	Domain-distal >40 aa	4	4
Q7Z6E9	RBBP6	1	Domain-distal >40 aa	4	9
Q86U42	PABPN1	1	Domain-distal >40 aa	4	4
Q86UK7	ZNF598	1	Domain-distal >40 aa	5	6
Q86UU0	BCL9L	1	Domain-distal >40 aa	3	5
Q86V81	ALYREF	1	Domain-distal >40 aa	4	7
Q8IWF6	DENND6A	1	Domain-distal >40 aa	3	3
Q8IWX8	CHERP	1	Domain-distal >40 aa	4	7
Q8IXT5	RBM12B	1	Domain-distal >40 aa	5	11
Q8IZ40	RCOR2	1	Domain-distal >40 aa	3	5
Q8IZT6	ASPM	1	Domain edge <=20 aa	3	4
Q8NC51	SERBP1	2	Domain edge <=20 aa | Domain-distal >40 aa	7	15
Q8ND56	LSM14A	2	Domain edge <=20 aa | Domain-distal >40 aa	3	9
Q8NEZ4	KMT2C	1	Domain-distal >40 aa	4	17
Q8TDC3	BRSK1	1	Domain-distal >40 aa	3	7
Q8WUA2	PPIL4	1	Domain-distal >40 aa	4	4
Q8WUF5	PPP1R13L	1	Domain-distal >40 aa	4	23
Q8WWM7	ATXN2L	2	Domain edge 21-40 aa | Domain-distal >40 aa	6	16
Q8WXE0	CASKIN2	1	Domain-distal >40 aa	3	3
Q92540	SMG7	1	Domain-distal >40 aa	3	4
Q92576	PHF3	1	Domain-distal >40 aa	4	10
Q92620	DHX38	1	Domain-distal >40 aa	3	4
Q92734	TFG	1	Domain-distal >40 aa	3	4
Q92804	TAF15	2	Domain edge <=20 aa | Domain-distal >40 aa	4	33
Q92841	DDX17	1	Domain edge <=20 aa	4	7
Q92945	KHSRP	1	Domain edge <=20 aa	3	6
Q96AE4	FUBP1	1	Domain edge <=20 aa	3	3
Q96BH1	RNF25	1	Domain-distal >40 aa	3	7
Q96E39	RBMXL1	3	Domain edge <=20 aa | Domain edge 21-40 aa | Domain-distal >40 aa	4	22
Q96EK7	FAM120B	1	Domain-distal >40 aa	4	5
Q96EV2	RBM33	1	Domain-distal >40 aa	3	18
Q96FS4	SIPA1	1	Domain-distal >40 aa	3	7
Q96I24	FUBP3	1	Domain edge <=20 aa	4	4
Q96JP5	ZFP91	1	Domain-distal >40 aa	5	8
Q96L96	ALPK3	1	Domain-distal >40 aa	3	3
Q96LA8	PRMT6	1	Domain-distal >40 aa	5	6
Q96MS0	ROBO3	1	Domain-distal >40 aa	3	5
Q96PC5	MIA2	1	Domain-distal >40 aa	4	7
Q96PV6	LENG8	1	Domain-distal >40 aa	4	5
Q96QC0	PPP1R10	1	Domain-distal >40 aa	4	10
Q99569	PKP4	1	Domain-distal >40 aa	4	8
Q99590	SCAF11	1	Domain-distal >40 aa	3	12
Q99700	ATXN2	1	Domain-distal >40 aa	3	8
Q99729	HNRNPAB	1	Domain edge <=20 aa	4	4
Q99933	BAG1	1	Domain-distal >40 aa	3	4
Q9BST9	RTKN	1	Domain-distal >40 aa	3	3
Q9BTC0	DIDO1	1	Domain-distal >40 aa	3	23
Q9BTD8	RBM42	1	Domain-distal >40 aa	4	8
Q9BUJ2	HNRNPUL1	2	Domain edge <=20 aa | Domain-distal >40 aa	5	16
Q9BX40	LSM14B	1	Domain edge <=20 aa	4	8
Q9BXP5	SRRT	1	Domain-distal >40 aa	4	6
Q9BYB0	SHANK3	1	Domain edge <=20 aa	3	3
Q9BZ76	CNTNAP3	1	Domain-distal >40 aa	3	3
Q9C0B5	ZDHHC5	1	Domain-distal >40 aa	3	6
Q9C0C7	AMBRA1	1	Domain-distal >40 aa	3	9
Q9C0J8	WDR33	1	Domain-distal >40 aa	4	30
Q9H074	PAIP1	1	Domain-distal >40 aa	5	10
Q9H0D6	XRN2	1	Domain-distal >40 aa	6	9
Q9H0L4	CSTF2T	1	Domain-distal >40 aa	4	14
Q9H2U1	DHX36	1	Domain-distal >40 aa	4	5
Q9H6K5	PRR36	1	Domain-distal >40 aa	3	5
Q9HAU4	SMURF2	1	Domain edge <=20 aa	4	4
Q9NR12	PDLIM7	1	Domain-distal >40 aa	4	5
Q9NR30	DDX21	1	Domain edge <=20 aa	3	3
Q9NYL2	MLTK	1	Domain-distal >40 aa	4	8
Q9NYV4	CDK12	1	Domain-distal >40 aa	3	5
Q9NZB2	FAM120A	1	Domain-distal >40 aa	4	5
Q9P0J7	KCMF1	1	Domain edge 21-40 aa	4	4
Q9P107	GMIP	1	Domain-distal >40 aa	4	7
Q9P258	RCC2	1	Domain-distal >40 aa	3	3
Q9P2K3	RCOR3	1	Domain-distal >40 aa	3	3
Q9P2K8	EIF2AK4	1	Domain edge <=20 aa	3	3
Q9P2N5	RBM27	1	Domain-distal >40 aa	3	9
Q9UBB5	MBD2	1	Domain-distal >40 aa	3	5
Q9UH92	MLX	1	Domain-distal >40 aa	3	3
Q9ULX6	AKAP8L	1	Domain-distal >40 aa	4	6
Q9UMN6	KMT2B	1	Domain-distal >40 aa	4	11
Q9UN86	G3BP2	2	Domain edge 21-40 aa | Domain-distal >40 aa	3	7
Q9UPN6	SCAF8	1	Domain-distal >40 aa	5	14
Q9UPT8	ZC3H4	1	Domain-distal >40 aa	3	5
Q9UQ35	SRRM2	1	Domain edge <=20 aa	4	4
Q9Y3I1	FBXO7	1	Domain-distal >40 aa	3	5
Q9Y3Y2	CHTOP	2	Domain edge <=20 aa | Domain edge 21-40 aa	4	7
Q9Y4H2	IRS2	1	Domain-distal >40 aa	4	9
Q9Y4Z0	LSM4	1	Domain edge 21-40 aa	4	4
Q9Y520	PRRC2C	1	Domain-distal >40 aa	6	34
Q9Y580	RBM7	1	Domain-distal >40 aa	4	6
Q9Y5B9	SUPT16H	1	Domain edge <=20 aa	3	3
Q9Y618	NCOR2	1	Domain-distal >40 aa	3	7
